Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
5	11	1006.3	1010.6	35.0	5.5	1.5	15.2	18.5	13.9	80	68	2.4	4.7	東南東	8.8	東南東	0.0	--	--	雨	雨後曇	
5	12	1001.7	1006.0	15.5	4.0	1.0	15.6	16.8	13.9	85	76	2.3	5.3	北北西	9.5	北	0.0	--	--	雨一時曇	雨後曇	
5	13	990.6	994.8	--	--	--	19.8	24.4	16.1	75	62	2.3	7.4	南東	11.6	南東	2.9	--	--	曇後一時晴	曇時々晴	
5	14	999.5	1003.7	0.0	0.0	0.0	20.1	25.1	14.3	47	25	3.1	7.1	南	12.3	南	9.2	--	--	晴後一時雨	薄曇後晴	
5	15	1011.2	1015.5	--	--	--	20.5	25.6	13.9	30	12	4.2	9.0	南	16.4	南	11.2	--	--	晴後薄曇	薄曇	
5	16	1010.8	1015.1	--	--	--	20.3	23.5	16.9	47	23	4.8	8.3	南	14.5	南	2.7	--	--	薄曇	薄曇	
5	17	1006.5	1010.8	3.5	3.0	1.5	18.2	21.7	15.3	66	46	2.7	5.4	南	9.6	南南西	0.5	--	--	曇後雨、雷を伴う	曇時々雨後晴	
5	18	1011.7	1016.0	--	--	--	19.4	23.7	15.2	59	32	3.0	5.3	南	9.5	南南東	12.2	--	--	晴	快晴	
5	19	1013.0	1017.3	--	--	--	20.9	25.7	15.4	53	28	3.4	7.7	南	12.9	南南東	12.7	--	--	快晴	晴一時薄曇	
5	20	1009.5	1013.8	--	--	--	22.0	26.7	18.2	56	44	3.4	6.4	南東	10.4	南南東	12.2	--	--	晴一時薄曇	晴	
